Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Measured_Device_Type_Id
GUN_TEMP,LINAC,TEMP_PERMIT_STATE,GUNB,-36,100,L2KA00-1506-S7-C6,1,L2KA00-0517,23,WD-376-040-00,6
WG_TEMP,LINAC,TEMP_PERMIT_STATE,GUNB,-36,100,L2KA00-1506-S7-C8,1,L2KA00-0517,26,WD-376-040-00,7
SOL01_TEMP,LINAC,TEMP_PERMIT_STATE,GUNB,-32.115049,212,L2KA00-1506-S7-C0,1,L2KA00-0517,2,WD-376-040-00,11
SOL02_TEMP,LINAC,TEMP_PERMIT_STATE,GUNB,-27.538278,823,L2KA00-1506-S7-C1,1,L2KA00-0517,3,WD-376-040-00,11
BUNCHER_TEMP,LINAC,TEMP_PERMIT_STATE,GUNB,-35,455,L2KA00-1506-S7-C3,1,L2KA00-0517,5,WD-376-040-00,11
INJ_COL_TEMP,LINAC,TEMP_PERMIT_STATE,GUNB,-28.065,753,L2KA00-1506-S7-C4,1,L2KA00-0517,25,WD-376-040-00,20
CYC01_TEMP,LINAC,TEMP_PERMIT_STATE,COL0,150.975853,386,L2KA01-0528-S11-C1,23,L2KG01-1931,8,MISSING,20
CXC01_TEMP,LINAC,TEMP_PERMIT_STATE,COL0,164.099213,476,L2KA01-0528-S11-C2,23,L2KG01-1931,9,MISSING,20
FCDG0DU_TEMP,LINAC,TEMP_PERMIT_STATE,DIAG,170.265052,530,L2KA01-0528-S11-C7,23,L2KG01-1931,10,MISSING,12
CYC03_TEMP,LINAC,TEMP_PERMIT_STATE,COL0,203.469291,745,L2KA01-0528-S11-C3,23,L2KG01-1931,13,MISSING,20
CXC03_TEMP,LINAC,TEMP_PERMIT_STATE,COL0,216.592651,835,L2KA01-0528-S11-C4,23,L2KG01-1931,14,MISSING,20
CEHTR_TEMP,LINAC,TEMP_PERMIT_STATE,HTR,71.875,615,L2KA01-0528-S11-C0,23,L2KG01-1931,15,MISSING,20
PC0H00_TEMP,LINAC,TEMP_PERMIT_STATE,HTR,26.956,103,L2KA01-0528-S11-C6,23,L2KG01-1931,16,MISSING,20
BLEN_GAP_DIODE,LINAC,TEMP_PERMIT_STATE,HTR,48.53,349,L2KA01-0528-S11-C5,23,L2KG01-1931,17,MISSING,15
CE11B_TEMP,LINAC,TEMP_PERMIT_STATE,BC1B,411.184547,539,L2KA02-0424-S11-C0,43,L2KG02-2215,7,MISSING,20
CYC11_TEMP,LINAC,TEMP_PERMIT_STATE,COL1,478.182585,422,L2KA02-0424-S11-C1,43,L2KG02-2215,8,MISSING,20
CXC11_TEMP,LINAC,TEMP_PERMIT_STATE,COL1,491.305945,501,L2KA02-0424-S11-C2,43,L2KG02-2215,9,MISSING,20
CYC13_TEMP,LINAC,TEMP_PERMIT_STATE,COL1,530.676024,739,L2KA02-0424-S11-C3,43,L2KG02-2215,10,MISSING,20
CXC13_TEMP,LINAC,TEMP_PERMIT_STATE,COL1,543.799383,818,L2KA02-0424-S11-C4,43,L2KG02-2215,11,MISSING,20
BC1B_TEMP,LINAC,TEMP_PERMIT_STATE,BC1B,111,111,L2KA02-0424-S11-C7,43,L2KG02-2215,12,MISSING,20
BLEN_Pyro_det_1,LINAC,TEMP_PERMIT_STATE,COL1,425.48,106,L2KA02-0424-S11-C5,43,L2KG02-2215,13,MISSING,15
BLEN_PYRO_DET_2,LINAC,TEMP_PERMIT_STATE,COL1,425.48,106,L2KA02-0424-S11-C6,43,L2KG02-2215,14,MISSING,15
CE21B_TEMP,LINAC,TEMP_PERMIT_STATE,BC2B,1131.312178,569,L2KA04-0526-S10-C0,61,L2KG04-1923,4,MISSING,20
CEDOG_TEMP,LINAC,TEMP_PERMIT_STATE,DOG,2235.182306,128,L2KA07-0424-S7-C0,93,L2KG07-3737,2,MISSING,20
CXBP21_TEMP,LINAC,TEMP_PERMIT_STATE,BPN21,6793.16602,441,L2KA21-0429-S4-C0,143,L2KG21-0433,1,MISSING,20
CYBP22_TEMP,LINAC,TEMP_PERMIT_STATE,BPN22,7126.499354,441,L2KA22-0429-S4-C0,146,L2KG22-7D37,0,MISSING,20
CXBP25_TEMP,LINAC,TEMP_PERMIT_STATE,BPN25,8126.499354,441,L2KA25-0429-S4-C0,154,L2KG25-7D37,0,MISSING,20
CYBP26_TEMP,LINAC,TEMP_PERMIT_STATE,BPN26,8459.832687,441,L2KA26-0429-S4-C0,157,L2KG26-7D37,0,MISSING,20
CXBP30_TEMP,LINAC,TEMP_PERMIT_STATE,SLTS,10200.22803,431,B136-04-S5-C0,201,B136-0528,11,MISSING,20
CXBP34_TEMP,SXU,TEMP_PERMIT_STATE,BSYS,10485.68748,854,B106-03,221,B106-0131,6,MISSING,20
STBP34A_TEMP,SXU,TEMP_PERMIT_STATE,BSYS,10504.45678,889,B005-L07,228,B005-L0716,12,MISSING,18
STBP34B_TEMP,SXU,TEMP_PERMIT_STATE,BSYS,10511.01846,899,B005-L07,228,B005-L0716,13,MISSING,18
CXQ6_TEMP,HXU,TEMP_PERMIT_STATE,BSYH,10508.8283,891,B106-03,215,B106-0124,0,MISSING,20
CYBDL_TEMP,SXU,TEMP_PERMIT_STATE,LTUS,10583.24286,105,B005-L07,228,B005-L0716,9,MISSING,20
CEDL13_TEMP,SXU,TEMP_PERMIT_STATE,LTUS,10717.79216,212,B005-L07,228,B005-L0716,7,MISSING,20
CEDL1_TEMP,HXU,TEMP_PERMIT_STATE,LTUH,10736.30717,228,B005-L07,227,B005-L0811,8,MISSING,20
CYBX32_TEMP,HXU,TEMP_PERMIT_STATE,LTUH,10771.82688,257,B005-L07,227,B005-L0811,9,MISSING,20
CYDL16_TEMP,SXU,TEMP_PERMIT_STATE,LTUS,10844.24658,314,B005-L07,228,B005-L0716,8,MISSING,20
CEDL17_TEMP,SXU,TEMP_PERMIT_STATE,LTUS,10885.08595,347,B911-22,254,B911-0634,13,MISSING,20
CXQT22_TEMP,HXU,TEMP_PERMIT_STATE,LTUH,10910.24336,369,B911-22,241,B911-0620,4,MISSING,20
CEDL3_TEMP,HXU,TEMP_PERMIT_STATE,LTUH,10971.26088,418,B911-22,241,B911-0620,5,MISSING,20
CYBX36_TEMP,HXU,TEMP_PERMIT_STATE,LTUH,11006.78059,447,B911-22,241,B911-0620,6,MISSING,20
STCLTS_TEMP,CLTS,TEMP_PERMIT_STATE,CLTS,10302.00459,585,B136-0429-S5-C1,200,B136-0521,1,,18
